#{"t_start": 1723733404.2139432, "env_id": "Cobrinha"}
r,l,t
-1631.0,75,1.05707
-520.0,2,1.058071
-619.0,6,1.061052
-522.0,1,1.062052
-1020.0,21,1.074123
-520.0,1,1.075052
-541.0,2,1.076142
-518.0,1,1.077052
-515.0,3,1.079065
-886.0,38,1.099052
-573.0,5,1.102048
-517.0,1,1.103052
-722.0,11,1.109065
-590.0,7,1.113064
-515.0,1,1.113064
-749.0,12,1.121061
-565.0,3,1.123074
-719.0,7,1.126062
-966.0,51,1.156082
-513.0,4,1.159075
-512.0,1,1.160062
-775.0,11,1.166052
-609.0,6,1.169076
-529.0,1,1.170062
-518.0,1,1.171063
-965.0,74,1.208062
-580.0,6,1.21106
-553.0,2,1.213065
-567.0,6,1.217061
-521.0,1,1.218058
-594.0,25,1.230073
-549.0,3,1.232077
-522.0,1,1.233077
-583.0,4,1.235062
-601.0,6,1.23806
-537.0,2,1.240065
-524.0,1,1.240065
-514.0,1,1.241065
-663.0,34,1.259052
-522.0,1,1.259052
-630.0,5,1.262066
-523.0,1,1.263061
-523.0,1,1.263061
-558.0,6,1.267058
-535.0,2,1.268057
-525.0,1,1.269056
-552.0,3,1.271062
-510.0,1,1.271062
-620.0,5,1.27406
-628.0,5,1.277056
-567.0,3,1.278061
-775.0,36,1.30006
-541.0,2,1.30106
-530.0,1,1.302067
-520.0,1,1.302067
-646.0,8,1.30705
-544.0,2,1.30905
-526.0,1,1.310048
-656.0,6,1.313051
-540.0,3,1.315047
-695.0,7,1.319067
1872.0,15,1.330056
-586.0,3,1.33205
-614.0,13,1.340048
-503.0,1,1.340048
-511.0,1,1.341047
-518.0,1,1.342047
-281.0,126,1.41007
-519.0,1,1.411086
-549.0,7,1.415048
-569.0,17,1.426069
-531.0,9,1.431058
-505.0,1,1.432067
-988.0,62,1.471081
-563.0,2,1.473057
-578.0,3,1.47605
-510.0,2,1.478055
-526.0,1,1.479057
-515.0,1,1.48005
-594.0,5,1.484053
-916.0,30,1.506051
4002.0,59,1.549052
-539.0,2,1.551049
-608.0,5,1.555049
-658.0,7,1.56105
-765.0,22,1.57605
-573.0,4,1.57905
-557.0,12,1.588051
-828.0,14,1.597048
-804.0,12,1.604048
-521.0,1,1.605047
-569.0,5,1.607053
-550.0,2,1.609048
-1059.0,45,1.704047
-602.0,13,1.73905
-576.0,5,1.753056
-520.0,1,1.762048
-522.0,1,1.76305
-519.0,1,1.764051
-524.0,1,1.766048
-879.0,12,1.80105
-819.0,15,1.846051
-571.0,4,1.858051
-629.0,12,1.893046
-666.0,9,1.917048
-737.0,27,2.006072
-815.0,20,2.06407
-666.0,14,2.107096
-939.0,28,2.1891
-765.0,27,2.262064
-653.0,8,2.286067
-560.0,2,2.298058
-565.0,6,2.312059
-816.0,34,2.420062
1613.0,43,2.550062
-795.0,32,2.642059
-648.0,8,2.66706
-633.0,7,2.680065
-703.0,19,2.739059
846.0,73,2.97506
-1258.0,46,3.113062
-513.0,4,3.125055
-561.0,3,3.136046
-685.0,16,3.184061
-557.0,5,3.197059
-677.0,8,3.221059
1346.0,44,3.356059
-882.0,36,3.461049
-996.0,44,3.587522
-2247.0,100,3.87654
-514.0,2,3.877523
-861.0,17,3.932534
-1177.0,64,4.118521
-979.0,42,4.234531
-524.0,1,4.235532
-524.0,1,4.244521
-579.0,4,4.255575
-559.0,4,4.279525
-1015.0,57,4.449577
-869.0,44,4.574533
-1078.0,69,4.772532
-673.0,7,4.794522
-1005.0,55,4.954522
-785.0,27,5.028538
-844.0,41,5.159444
-954.0,43,5.283439
-578.0,3,5.293397
-677.0,11,5.329447
-1151.0,52,5.483395
-595.0,7,5.506395
-565.0,3,5.508398
-705.0,31,5.601396
-522.0,3,5.612397
-929.0,54,5.763398
-649.0,8,5.787398
1436.0,48,5.927402
-1260.0,51,6.086396
-541.0,3,6.097396
-773.0,39,6.212408
-1067.0,54,6.36941
-945.0,55,6.534396
-634.0,7,6.556395
-1144.0,57,6.729403
6913.0,32,6.824398
425.0,101,7.124398
1574.0,46,7.264396
1744.0,30,7.353416
-563.0,3,7.364437
1656.0,34,7.461417
1563.0,34,7.562395
3783.0,54,7.717284
-681.0,17,7.772337
-765.0,28,7.854318
1528.0,48,7.994295
1687.0,33,8.086292
-591.0,5,8.099342
1259.0,51,8.248299
4159.0,46,8.381256
-517.0,1,8.390299
-1081.0,48,8.53232
1635.0,41,8.651256
1678.0,39,8.771295
958.0,99,8.999301
-996.0,52,9.122299
